Title,Home,Away,Court,Date,Time
Another Brick in the Wall vs Chain Blockers,Another Brick in the Wall,Chain Blockers,43,07/15/2024,5:30
CommishCrew vs Chain Blockers,CommishCrew,Chain Blockers,redwest,07/16/2024,4:30
Fellas of Finance vs The Splashware Engineers,Fellas of Finance,The Splashware Engineers,43,07/15/2024,4:30
Layup Legends vs Another Brick in the Wall,Layup Legends,Another Brick in the Wall,redwest,07/16/2024,5:30
Layup Legends vs Chain Blockers,Layup Legends,Chain Blockers,43,07/22/2024,6:30
CommishCrew vs The Splashware Engineers,CommishCrew,The Splashware Engineers,43,07/17/2024,5:30
Satya's Directs vs Fellas of Finance,Satya's Directs,Fellas of Finance,redwest,07/16/2024,6:30
Hoopsters vs Satya's Directs,Hoopsters,Satya's Directs,redwest,07/15/2024,5:30
The Splashware Engineers vs 2024 MSHoops Redeem Team,The Splashware Engineers,2024 MSHoops Redeem Team,redwest,07/22/2024,5:30
Satya's Directs vs CommishCrew,Satya's Directs,CommishCrew,43,07/22/2024,5:30
Layup Legends vs Satya's Directs,Layup Legends,Satya's Directs,redwest,07/23/2024,6:30
The Splashware Engineers vs Infinite Hoop,The Splashware Engineers,Infinite Hoop,redwest,07/23/2024,4:30
Hoopsters vs Fellas of Finance,Hoopsters,Fellas of Finance,redwest,07/22/2024,6:30
2024 MSHoops Redeem Team vs CommishCrew,2024 MSHoops Redeem Team,CommishCrew,43,07/23/2024,6:30
2024 MSHoops Redeem Team vs Chain Blockers,2024 MSHoops Redeem Team,Chain Blockers,redwest,07/29/2024,4:30
2024 MSHoops Redeem Team vs Infinite Hoop,2024 MSHoops Redeem Team,Infinite Hoop,92,07/15/2024,6:30
Chain Blockers vs Hoopsters,Chain Blockers,Hoopsters,92,07/23/2024,5:30
2024 MSHoops Redeem Team vs Another Brick in the Wall,2024 MSHoops Redeem Team,Another Brick in the Wall,redwest,07/30/2024,5:30
Satya's Directs vs The Splashware Engineers,Satya's Directs,The Splashware Engineers,redwest,07/29/2024,6:30
Fellas of Finance vs CommishCrew,Fellas of Finance,CommishCrew,92,07/29/2024,6:30
Fellas of Finance vs Another Brick in the Wall,Fellas of Finance,Another Brick in the Wall,redwest,07/23/2024,5:30
Satya's Directs vs Infinite Hoop,Satya's Directs,Infinite Hoop,redwest,07/30/2024,6:30
Chain Blockers vs Satya's Directs,Chain Blockers,Satya's Directs,43,08/05/2024,5:30
Infinite Hoop vs Another Brick in the Wall,Infinite Hoop,Another Brick in the Wall,92,07/22/2024,5:30
Hoopsters vs The Splashware Engineers,Hoopsters,The Splashware Engineers,43,07/30/2024,5:30
Fellas of Finance vs 2024 MSHoops Redeem Team,Fellas of Finance,2024 MSHoops Redeem Team,redwest,08/05/2024,4:30
Satya's Directs vs 2024 MSHoops Redeem Team,Satya's Directs,2024 MSHoops Redeem Team,43,08/06/2024,4:30
Chain Blockers vs Fellas of Finance,Chain Blockers,Fellas of Finance,43,07/30/2024,6:30
Chain Blockers vs Infinite Hoop,Chain Blockers,Infinite Hoop,redwest,08/06/2024,6:30
The Splashware Engineers vs Another Brick in the Wall,The Splashware Engineers,Another Brick in the Wall,43,08/05/2024,4:30
2024 MSHoops Redeem Team vs Hoopsters,2024 MSHoops Redeem Team,Hoopsters,43,07/16/2024,6:30
CommishCrew vs Another Brick in the Wall,CommishCrew,Another Brick in the Wall,92,07/31/2024,6:30
Infinite Hoop vs Fellas of Finance,Infinite Hoop,Fellas of Finance,redwest,08/07/2024,5:30
Hoopsters vs CommishCrew,Hoopsters,CommishCrew,92,08/05/2024,4:30
CommishCrew vs Infinite Hoop,CommishCrew,Infinite Hoop,92,08/12/2024,6:30
Layup Legends vs Infinite Hoop,Layup Legends,Infinite Hoop,43,07/17/2024,6:30
Another Brick in the Wall vs Hoopsters,Another Brick in the Wall,Hoopsters,43,08/06/2024,6:30
Hoopsters vs Layup Legends,Hoopsters,Layup Legends,43,07/29/2024,5:30
Layup Legends vs The Splashware Engineers,Layup Legends,The Splashware Engineers,92,08/06/2024,5:30
