Title,Home,Away,Court,Date,Time
Air-Gapped 1's vs EthicallySourcedBuckets,Air-Gapped 1's,EthicallySourcedBuckets,redwest,07/15/2024,5:30
Scrubs vs Jump,Scrubs,Jump,redwest,07/15/2024,6:30
Layup Legends vs Clippy - The Way We Got Shooters Everywhere,Layup Legends,Clippy - The Way We Got Shooters Everywhere,92,07/15/2024,6:30
Paul Allen's Ballers vs Geneva Hoops,Paul Allen's Ballers,Geneva Hoops,43,07/15/2024,4:30
GPT-8 vs DefenseWonChampionship,GPT-8,DefenseWonChampionship,redwest,07/16/2024,4:30
EthicallySourcedBuckets vs Geneva Hoops,EthicallySourcedBuckets,Geneva Hoops,43,07/16/2024,6:30
Layup Legends vs Victorius,Layup Legends,Victorius,92,07/17/2024,5:30
Clippy - The Way We Got Shooters Everywhere vs Fixers,Clippy - The Way We Got Shooters Everywhere,Fixers,43,07/17/2024,5:30
DefenseWonChampionship vs Jump,DefenseWonChampionship,Jump,redwest,07/17/2024,4:30
Paewox vs Scrubs,Paewox,Scrubs,redwest,07/17/2024,5:30
GPT-8 vs Like Clockwork,GPT-8,Like Clockwork,43,07/17/2024,6:30
Air-Gapped 1's vs Paul Allen's Ballers,Air-Gapped 1's,Paul Allen's Ballers,redwest,07/17/2024,6:30
Paewox vs Victorius,Paewox,Victorius,redwest,07/18/2024,5:30
Fixers vs Like Clockwork,Fixers,Like Clockwork,43,07/18/2024,4:30
Geneva Hoops vs Air-Gapped 1's,Geneva Hoops,Air-Gapped 1's,redwest,07/22/2024,4:30
DefenseWonChampionship vs Fixers,DefenseWonChampionship,Fixers,43,07/22/2024,6:30
Like Clockwork vs Scrubs,Like Clockwork,Scrubs,92,07/22/2024,6:30
Clippy - The Way We Got Shooters Everywhere vs GPT-8,Clippy - The Way We Got Shooters Everywhere,GPT-8,43,07/22/2024,4:30
Paul Allen's Ballers vs Layup Legends,Paul Allen's Ballers,Layup Legends,92,07/22/2024,4:30
EthicallySourcedBuckets vs Clippy - The Way We Got Shooters Everywhere,EthicallySourcedBuckets,Clippy - The Way We Got Shooters Everywhere,92,07/23/2024,5:30
Paul Allen's Ballers vs DefenseWonChampionship,Paul Allen's Ballers,DefenseWonChampionship,92,07/23/2024,6:30
Like Clockwork vs Victorius,Like Clockwork,Victorius,43,07/23/2024,5:30
Geneva Hoops vs Fixers,Geneva Hoops,Fixers,redwest,07/24/2024,5:30
Layup Legends vs Scrubs,Layup Legends,Scrubs,92,07/24/2024,6:30
Victorius vs Jump,Victorius,Jump,redwest,07/24/2024,6:30
GPT-8 vs Paewox,GPT-8,Paewox,redwest,07/24/2024,4:30
Air-Gapped 1's vs Paewox,Air-Gapped 1's,Paewox,redwest,07/25/2024,4:30
GPT-8 vs Scrubs,GPT-8,Scrubs,redwest,07/29/2024,4:30
Air-Gapped 1's vs Fixers,Air-Gapped 1's,Fixers,92,07/29/2024,6:30
EthicallySourcedBuckets vs Victorius,EthicallySourcedBuckets,Victorius,43,07/29/2024,6:30
Like Clockwork vs Paewox,Like Clockwork,Paewox,redwest,07/30/2024,4:30
Geneva Hoops vs Clippy - The Way We Got Shooters Everywhere,Geneva Hoops,Clippy - The Way We Got Shooters Everywhere,43,07/30/2024,5:30
Paul Allen's Ballers vs EthicallySourcedBuckets,Paul Allen's Ballers,EthicallySourcedBuckets,92,07/31/2024,5:30
Clippy - The Way We Got Shooters Everywhere vs Scrubs,Clippy - The Way We Got Shooters Everywhere,Scrubs,43,07/31/2024,6:30
GPT-8 vs Layup Legends,GPT-8,Layup Legends,redwest,07/31/2024,4:30
Geneva Hoops vs DefenseWonChampionship,Geneva Hoops,DefenseWonChampionship,92,07/31/2024,6:30
Jump vs Like Clockwork,Jump,Like Clockwork,43,07/31/2024,5:30
Layup Legends vs Air-Gapped 1's,Layup Legends,Air-Gapped 1's,92,08/01/2024,6:30
Victorius vs DefenseWonChampionship,Victorius,DefenseWonChampionship,redwest,08/01/2024,4:30
Paul Allen's Ballers vs Fixers,Paul Allen's Ballers,Fixers,redwest,08/01/2024,6:30
EthicallySourcedBuckets vs Layup Legends,EthicallySourcedBuckets,Layup Legends,redwest,08/05/2024,5:30
Like Clockwork vs Geneva Hoops,Like Clockwork,Geneva Hoops,43,08/05/2024,5:30
GPT-8 vs Jump,GPT-8,Jump,43,08/05/2024,6:30
Air-Gapped 1's vs Scrubs,Air-Gapped 1's,Scrubs,92,08/05/2024,5:30
Clippy - The Way We Got Shooters Everywhere vs Paewox,Clippy - The Way We Got Shooters Everywhere,Paewox,redwest,08/05/2024,6:30
EthicallySourcedBuckets vs Fixers,EthicallySourcedBuckets,Fixers,43,08/06/2024,6:30
DefenseWonChampionship vs Scrubs,DefenseWonChampionship,Scrubs,redwest,08/06/2024,4:30
Paul Allen's Ballers vs GPT-8,Paul Allen's Ballers,GPT-8,92,08/06/2024,5:30
Geneva Hoops vs Paewox,Geneva Hoops,Paewox,43,08/06/2024,4:30
Air-Gapped 1's vs DefenseWonChampionship,Air-Gapped 1's,DefenseWonChampionship,redwest,08/07/2024,6:30
Fixers vs Layup Legends,Fixers,Layup Legends,43,08/07/2024,6:30
Clippy - The Way We Got Shooters Everywhere vs Like Clockwork,Clippy - The Way We Got Shooters Everywhere,Like Clockwork,92,08/07/2024,6:30
Paul Allen's Ballers vs Jump,Paul Allen's Ballers,Jump,redwest,08/07/2024,4:30
Paewox vs EthicallySourcedBuckets,Paewox,EthicallySourcedBuckets,43,08/12/2024,4:30
