Title,Home,Away,Court,Date,Time
Json Tatum Deuce Daddy vs High Performance Cabrones,Json Tatum Deuce Daddy,High Performance Cabrones,92,07/18/2024,5:30
Microballers vs The Dream Team,Microballers,The Dream Team,92,07/16/2024,5:30
The Dream Team vs Json Tatum Deuce Daddy,The Dream Team,Json Tatum Deuce Daddy,43,07/19/2024,6:30
Not Elixer vs Ballmer's C-team,Not Elixer,Ballmer's C-team,92,07/17/2024,5:30
Dolphins vs Three Pointless,Dolphins,Three Pointless,redwest,07/18/2024,6:30
Highly Privileged vs Dolphins,Highly Privileged,Dolphins,redwest,07/19/2024,5:30
High Performance Cabrones vs ARM Flex,High Performance Cabrones,ARM Flex,redwest,07/19/2024,6:30
Three Pointless vs Not Elixer,Three Pointless,Not Elixer,redwest,07/19/2024,4:30
High Performance Cabrones vs NorthWest Umbrerllas,High Performance Cabrones,NorthWest Umbrerllas,43,07/24/2024,6:30
Ballmer's C-team vs Dolphins,Ballmer's C-team,Dolphins,redwest,07/24/2024,4:30
Clippies vs Json Tatum Deuce Daddy,Clippies,Json Tatum Deuce Daddy,92,07/25/2024,6:30
Json Tatum Deuce Daddy vs Edgehogs,Json Tatum Deuce Daddy,Edgehogs,43,07/24/2024,5:30
Clippies vs Edgehogs,Clippies,Edgehogs,43,07/18/2024,6:30
Dolphins vs ARM Flex,Dolphins,ARM Flex,43,07/25/2024,4:30
Json Tatum Deuce Daddy vs ARM Flex,Json Tatum Deuce Daddy,ARM Flex,43,07/31/2024,6:30
Puerto Ricans @ MSFT vs Three Pointless,Puerto Ricans @ MSFT,Three Pointless,redwest,07/25/2024,6:30
The Dream Team vs ARM Flex,The Dream Team,ARM Flex,92,07/26/2024,6:30
Dolphins vs Puerto Ricans @ MSFT,Dolphins,Puerto Ricans @ MSFT,92,08/01/2024,4:30
Puerto Ricans @ MSFT vs Microballers,Puerto Ricans @ MSFT,Microballers,redwest,07/18/2024,4:30
The Dream Team vs Clippies,The Dream Team,Clippies,43,07/27/2024,6:30
Dolphins vs High Performance Cabrones,Dolphins,High Performance Cabrones,92,08/02/2024,5:30
ARM Flex vs Multi-Factor Threat,ARM Flex,Multi-Factor Threat,92,07/18/2024,4:30
Three Pointless vs Json Tatum Deuce Daddy,Three Pointless,Json Tatum Deuce Daddy,43,08/01/2024,5:30
NorthWest Umbrerllas vs Clippies,NorthWest Umbrerllas,Clippies,92,07/19/2024,6:30
Ballmer's C-team vs Json Tatum Deuce Daddy,Ballmer's C-team,Json Tatum Deuce Daddy,redwest,08/06/2024,5:30
Puerto Ricans @ MSFT vs NorthWest Umbrerllas,Puerto Ricans @ MSFT,NorthWest Umbrerllas,92,07/20/2024,4:30
Clippies vs Multi-Factor Threat,Clippies,Multi-Factor Threat,redwest,08/01/2024,6:30
Not Elixer vs NorthWest Umbrerllas,Not Elixer,NorthWest Umbrerllas,43,07/25/2024,6:30
ARM Flex vs Not Elixer,ARM Flex,Not Elixer,redwest,08/01/2024,5:30
Highly Privileged vs Clippies,Highly Privileged,Clippies,43,08/02/2024,6:30
Multi-Factor Threat vs Ballmer's C-team,Multi-Factor Threat,Ballmer's C-team,redwest,07/25/2024,5:30
The Dream Team vs Dolphins,The Dream Team,Dolphins,redwest,08/05/2024,6:30
The Dream Team vs Not Elixer,The Dream Team,Not Elixer,43,07/31/2024,5:30
