Title,Home,Away,Court,Date,Time
Layup Legends vs The Splashware Engineers,Layup Legends,The Splashware Engineers,redwest,07/15/2024,4:30
2024 MSHoops Redeem Team vs Infinite Hoop,2024 MSHoops Redeem Team,Infinite Hoop,92,07/15/2024,5:30
Hoopsters vs Fellas of Finance,Hoopsters,Fellas of Finance,43,07/15/2024,6:30
Satya's Directs vs Chain Blockers,Satya's Directs,Chain Blockers,92,07/15/2024,4:30
CommishCrew vs Another Brick in the Wall,CommishCrew,Another Brick in the Wall,redwest,07/15/2024,6:30
The Splashware Engineers vs Another Brick in the Wall,The Splashware Engineers,Another Brick in the Wall,redwest,07/16/2024,6:30
Chain Blockers vs Fellas of Finance,Chain Blockers,Fellas of Finance,redwest,07/16/2024,5:30
Satya's Directs vs 2024 MSHoops Redeem Team,Satya's Directs,2024 MSHoops Redeem Team,redwest,07/16/2024,4:30
CommishCrew vs Hoopsters,CommishCrew,Hoopsters,92,07/16/2024,5:30
Layup Legends vs Infinite Hoop,Layup Legends,Infinite Hoop,92,07/16/2024,6:30
Hoopsters vs Another Brick in the Wall,Hoopsters,Another Brick in the Wall,43,07/22/2024,6:30
The Splashware Engineers vs Infinite Hoop,The Splashware Engineers,Infinite Hoop,redwest,07/22/2024,4:30
Satya's Directs vs CommishCrew,Satya's Directs,CommishCrew,43,07/22/2024,4:30
Fellas of Finance vs 2024 MSHoops Redeem Team,Fellas of Finance,2024 MSHoops Redeem Team,92,07/22/2024,6:30
CommishCrew vs Fellas of Finance,CommishCrew,Fellas of Finance,92,07/23/2024,5:30
Another Brick in the Wall vs 2024 MSHoops Redeem Team,Another Brick in the Wall,2024 MSHoops Redeem Team,43,07/23/2024,6:30
Layup Legends vs Chain Blockers,Layup Legends,Chain Blockers,redwest,07/23/2024,6:30
Hoopsters vs Satya's Directs,Hoopsters,Satya's Directs,92,07/23/2024,6:30
Infinite Hoop vs Chain Blockers,Infinite Hoop,Chain Blockers,redwest,07/24/2024,6:30
Another Brick in the Wall vs Layup Legends,Another Brick in the Wall,Layup Legends,43,07/29/2024,5:30
Hoopsters vs 2024 MSHoops Redeem Team,Hoopsters,2024 MSHoops Redeem Team,redwest,07/29/2024,4:30
The Splashware Engineers vs CommishCrew,The Splashware Engineers,CommishCrew,redwest,07/29/2024,5:30
Satya's Directs vs Infinite Hoop,Satya's Directs,Infinite Hoop,92,07/29/2024,6:30
Infinite Hoop vs Another Brick in the Wall,Infinite Hoop,Another Brick in the Wall,redwest,07/30/2024,4:30
CommishCrew vs 2024 MSHoops Redeem Team,CommishCrew,2024 MSHoops Redeem Team,redwest,07/30/2024,5:30
Hoopsters vs Chain Blockers,Hoopsters,Chain Blockers,43,07/30/2024,5:30
The Splashware Engineers vs Satya's Directs,The Splashware Engineers,Satya's Directs,redwest,07/30/2024,6:30
Satya's Directs vs Fellas of Finance,Satya's Directs,Fellas of Finance,92,08/05/2024,6:30
Layup Legends vs Hoopsters,Layup Legends,Hoopsters,redwest,08/05/2024,6:30
Another Brick in the Wall vs Chain Blockers,Another Brick in the Wall,Chain Blockers,92,08/05/2024,5:30
Infinite Hoop vs CommishCrew,Infinite Hoop,CommishCrew,redwest,08/05/2024,5:30
2024 MSHoops Redeem Team vs The Splashware Engineers,2024 MSHoops Redeem Team,The Splashware Engineers,43,08/05/2024,4:30
The Splashware Engineers vs Hoopsters,The Splashware Engineers,Hoopsters,43,08/06/2024,4:30
Infinite Hoop vs Fellas of Finance,Infinite Hoop,Fellas of Finance,redwest,08/06/2024,5:30
Layup Legends vs Satya's Directs,Layup Legends,Satya's Directs,redwest,08/06/2024,6:30
Chain Blockers vs 2024 MSHoops Redeem Team,Chain Blockers,2024 MSHoops Redeem Team,92,08/06/2024,4:30
Fellas of Finance vs The Splashware Engineers,Fellas of Finance,The Splashware Engineers,43,08/12/2024,4:30
CommishCrew vs Chain Blockers,CommishCrew,Chain Blockers,43,08/12/2024,5:30
Fellas of Finance vs Another Brick in the Wall,Fellas of Finance,Another Brick in the Wall,43,08/13/2024,5:30
Layup Legends vs EthicallySourcedBuckets,Layup Legends,EthicallySourcedBuckets,redwest,07/15/2024,5:30
Jump vs Like Clockwork,Jump,Like Clockwork,43,07/15/2024,5:30
Air-Gapped 1's vs Paewox,Air-Gapped 1's,Paewox,43,07/15/2024,4:30
GPT-8 vs Paul Allen's Ballers,GPT-8,Paul Allen's Ballers,92,07/15/2024,6:30
Like Clockwork vs GPT-8,Like Clockwork,GPT-8,43,07/16/2024,6:30
Paewox vs Scrubs,Paewox,Scrubs,92,07/17/2024,6:30
EthicallySourcedBuckets vs Victorius,EthicallySourcedBuckets,Victorius,43,07/17/2024,5:30
Geneva Hoops vs Fixers,Geneva Hoops,Fixers,92,07/17/2024,5:30
Paul Allen's Ballers vs Layup Legends,Paul Allen's Ballers,Layup Legends,redwest,07/17/2024,4:30
Jump vs DefenseWonChampionship,Jump,DefenseWonChampionship,redwest,07/17/2024,6:30
DefenseWonChampionship vs Geneva Hoops,DefenseWonChampionship,Geneva Hoops,redwest,07/18/2024,6:30
Clippy - The Way We Got Shooters Everywhere vs Scrubs,Clippy - The Way We Got Shooters Everywhere,Scrubs,43,07/18/2024,6:30
Air-Gapped 1's vs Fixers,Air-Gapped 1's,Fixers,92,07/18/2024,6:30
Paewox vs Like Clockwork,Paewox,Like Clockwork,43,07/22/2024,5:30
GPT-8 vs Scrubs,GPT-8,Scrubs,redwest,07/22/2024,5:30
DefenseWonChampionship vs Paul Allen's Ballers,DefenseWonChampionship,Paul Allen's Ballers,92,07/22/2024,5:30
Clippy - The Way We Got Shooters Everywhere vs Fixers,Clippy - The Way We Got Shooters Everywhere,Fixers,92,07/22/2024,4:30
EthicallySourcedBuckets vs Geneva Hoops,EthicallySourcedBuckets,Geneva Hoops,redwest,07/22/2024,6:30
Fixers vs Like Clockwork,Fixers,Like Clockwork,redwest,07/23/2024,5:30
Paul Allen's Ballers vs Air-Gapped 1's,Paul Allen's Ballers,Air-Gapped 1's,43,07/23/2024,5:30
DefenseWonChampionship vs Victorius,DefenseWonChampionship,Victorius,redwest,07/23/2024,4:30
Layup Legends vs Victorius,Layup Legends,Victorius,43,07/24/2024,6:30
EthicallySourcedBuckets vs Clippy - The Way We Got Shooters Everywhere,EthicallySourcedBuckets,Clippy - The Way We Got Shooters Everywhere,43,07/24/2024,4:30
Paewox vs Geneva Hoops,Paewox,Geneva Hoops,92,07/24/2024,6:30
GPT-8 vs Jump,GPT-8,Jump,43,07/24/2024,5:30
Scrubs vs Air-Gapped 1's,Scrubs,Air-Gapped 1's,92,07/24/2024,5:30
Clippy - The Way We Got Shooters Everywhere vs Like Clockwork,Clippy - The Way We Got Shooters Everywhere,Like Clockwork,redwest,07/29/2024,6:30
Layup Legends vs Fixers,Layup Legends,Fixers,92,07/29/2024,5:30
Victorius vs Paewox,Victorius,Paewox,43,07/29/2024,6:30
Layup Legends vs Clippy - The Way We Got Shooters Everywhere,Layup Legends,Clippy - The Way We Got Shooters Everywhere,92,07/30/2024,6:30
Scrubs vs DefenseWonChampionship,Scrubs,DefenseWonChampionship,92,07/30/2024,5:30
Jump vs Victorius,Jump,Victorius,43,07/30/2024,6:30
Scrubs vs Like Clockwork,Scrubs,Like Clockwork,43,07/31/2024,6:30
Geneva Hoops vs Air-Gapped 1's,Geneva Hoops,Air-Gapped 1's,redwest,07/31/2024,5:30
EthicallySourcedBuckets vs Paul Allen's Ballers,EthicallySourcedBuckets,Paul Allen's Ballers,redwest,07/31/2024,6:30
GPT-8 vs Paewox,GPT-8,Paewox,43,07/31/2024,5:30
DefenseWonChampionship vs Fixers,DefenseWonChampionship,Fixers,92,07/31/2024,5:30
EthicallySourcedBuckets vs Air-Gapped 1's,EthicallySourcedBuckets,Air-Gapped 1's,43,08/01/2024,4:30
Geneva Hoops vs Paul Allen's Ballers,Geneva Hoops,Paul Allen's Ballers,92,08/01/2024,4:30
Scrubs vs Layup Legends,Scrubs,Layup Legends,redwest,08/05/2024,4:30
Geneva Hoops vs Like Clockwork,Geneva Hoops,Like Clockwork,92,08/05/2024,4:30
Clippy - The Way We Got Shooters Everywhere vs GPT-8,Clippy - The Way We Got Shooters Everywhere,GPT-8,43,08/05/2024,5:30
DefenseWonChampionship vs Air-Gapped 1's,DefenseWonChampionship,Air-Gapped 1's,43,08/05/2024,6:30
Jump vs Scrubs,Jump,Scrubs,92,08/06/2024,5:30
GPT-8 vs DefenseWonChampionship,GPT-8,DefenseWonChampionship,43,08/06/2024,6:30
Clippy - The Way We Got Shooters Everywhere vs Paewox,Clippy - The Way We Got Shooters Everywhere,Paewox,43,08/06/2024,5:30
Layup Legends vs Air-Gapped 1's,Layup Legends,Air-Gapped 1's,92,08/06/2024,6:30
Victorius vs Like Clockwork,Victorius,Like Clockwork,43,08/07/2024,5:30
EthicallySourcedBuckets vs Fixers,EthicallySourcedBuckets,Fixers,92,08/07/2024,5:30
Jump vs Paul Allen's Ballers,Jump,Paul Allen's Ballers,92,08/07/2024,4:30
Fixers vs Paul Allen's Ballers,Fixers,Paul Allen's Ballers,92,08/08/2024,5:30
EthicallySourcedBuckets vs Paewox,EthicallySourcedBuckets,Paewox,43,08/08/2024,5:30
Clippy - The Way We Got Shooters Everywhere vs Geneva Hoops,Clippy - The Way We Got Shooters Everywhere,Geneva Hoops,92,08/12/2024,4:30
Layup Legends vs GPT-8,Layup Legends,GPT-8,redwest,08/12/2024,6:30
Edgehogs vs Json Tatum Deuce Daddy,Edgehogs,Json Tatum Deuce Daddy,43,07/17/2024,6:30
Microballers vs The Dream Team,Microballers,The Dream Team,redwest,07/17/2024,5:30
Not Elixer vs Three Pointless,Not Elixer,Three Pointless,43,07/18/2024,5:30
Multi-Factor Threat vs Ballmer's C-team,Multi-Factor Threat,Ballmer's C-team,redwest,07/18/2024,5:30
Microballers vs Dolphins,Microballers,Dolphins,43,07/18/2024,4:30
