Team,Games Played,Date 1,Date 2,Date 3,Date 4,Date 5,Date 6,Date 7
The Retaliators,7,07/09/2024,07/12/2024,07/16/2024,07/19/2024,07/23/2024,07/26/2024,07/30/2024
Clipp'yers,7,07/09/2024,07/12/2024,07/16/2024,07/19/2024,07/23/2024,07/26/2024,07/30/2024
Subject to change,7,07/09/2024,07/12/2024,07/16/2024,07/19/2024,07/23/2024,07/26/2024,07/30/2024
The Windows Warriors,7,07/09/2024,07/12/2024,07/16/2024,07/19/2024,07/23/2024,07/26/2024,07/30/2024
MSFT intern team,7,07/09/2024,07/12/2024,07/16/2024,07/19/2024,07/23/2024,07/26/2024,07/30/2024
MSFT Hooperz,7,07/09/2024,07/12/2024,07/16/2024,07/19/2024,07/23/2024,07/26/2024,07/30/2024
Seattle Sonics,7,07/09/2024,07/12/2024,07/16/2024,07/19/2024,07/23/2024,07/26/2024,07/30/2024
The PowerPoint Guards,7,07/09/2024,07/12/2024,07/16/2024,07/19/2024,07/23/2024,07/26/2024,07/30/2024
Bilal Coulibaly Fans,4,07/10/2024,07/24/2024,07/29/2024,07/31/2024,,,
DART Team,4,07/10/2024,07/17/2024,07/24/2024,07/29/2024,,,
breakfast table,4,07/10/2024,07/17/2024,07/24/2024,07/31/2024,,,
WeStayBallin,4,07/10/2024,07/17/2024,07/29/2024,07/31/2024,,,
Africa,4,07/17/2024,07/24/2024,07/29/2024,07/31/2024,,,
