Title,Home,Away,Court,Date,Time
CommishCrew vs Chain Blockers,CommishCrew,Chain Blockers,92,07/15/2024,5:30
The Splashware Engineers vs Layup Legends A,The Splashware Engineers,Layup Legends A,redwest,07/15/2024,4:30
Fellas of Finance vs Satya's Directs,Fellas of Finance,Satya's Directs,redwest,07/15/2024,6:30
2024 MSHoops Redeem Team vs Infinite Hoop,2024 MSHoops Redeem Team,Infinite Hoop,43,07/15/2024,4:30
2024 MSHoops Redeem Team vs Layup Legends A,2024 MSHoops Redeem Team,Layup Legends A,redwest,07/16/2024,4:30
Hoopsters vs The Splashware Engineers,Hoopsters,The Splashware Engineers,92,07/16/2024,6:30
Infinite Hoop vs CommishCrew,Infinite Hoop,CommishCrew,43,07/16/2024,6:30
Chain Blockers vs Fellas of Finance,Chain Blockers,Fellas of Finance,92,07/16/2024,5:30
Satya's Directs vs Another Brick in the Wall,Satya's Directs,Another Brick in the Wall,redwest,07/16/2024,5:30
Layup Legends A vs CommishCrew,Layup Legends A,CommishCrew,92,07/22/2024,4:30
Chain Blockers vs 2024 MSHoops Redeem Team,Chain Blockers,2024 MSHoops Redeem Team,43,07/22/2024,5:30
Satya's Directs vs The Splashware Engineers,Satya's Directs,The Splashware Engineers,92,07/22/2024,5:30
Infinite Hoop vs Hoopsters,Infinite Hoop,Hoopsters,43,07/22/2024,4:30
Another Brick in the Wall vs Fellas of Finance,Another Brick in the Wall,Fellas of Finance,43,07/22/2024,6:30
CommishCrew vs Satya's Directs,CommishCrew,Satya's Directs,43,07/23/2024,6:30
2024 MSHoops Redeem Team vs Another Brick in the Wall,2024 MSHoops Redeem Team,Another Brick in the Wall,92,07/23/2024,5:30
Chain Blockers vs Infinite Hoop,Chain Blockers,Infinite Hoop,redwest,07/23/2024,5:30
Hoopsters vs Fellas of Finance,Hoopsters,Fellas of Finance,92,07/23/2024,6:30
Fellas of Finance vs The Splashware Engineers,Fellas of Finance,The Splashware Engineers,redwest,07/29/2024,5:30
CommishCrew vs 2024 MSHoops Redeem Team,CommishCrew,2024 MSHoops Redeem Team,43,07/29/2024,6:30
Another Brick in the Wall vs Layup Legends A,Another Brick in the Wall,Layup Legends A,43,07/29/2024,5:30
Chain Blockers vs Hoopsters,Chain Blockers,Hoopsters,redwest,07/29/2024,4:30
Satya's Directs vs Infinite Hoop,Satya's Directs,Infinite Hoop,92,07/29/2024,5:30
Fellas of Finance vs Layup Legends A,Fellas of Finance,Layup Legends A,92,07/30/2024,6:30
CommishCrew vs Another Brick in the Wall,CommishCrew,Another Brick in the Wall,92,07/30/2024,5:30
Satya's Directs vs Hoopsters,Satya's Directs,Hoopsters,redwest,07/30/2024,5:30
The Splashware Engineers vs Infinite Hoop,The Splashware Engineers,Infinite Hoop,redwest,07/30/2024,4:30
Satya's Directs vs Layup Legends A,Satya's Directs,Layup Legends A,redwest,08/05/2024,4:30
Fellas of Finance vs CommishCrew,Fellas of Finance,CommishCrew,43,08/05/2024,5:30
The Splashware Engineers vs 2024 MSHoops Redeem Team,The Splashware Engineers,2024 MSHoops Redeem Team,redwest,08/05/2024,6:30
Infinite Hoop vs Another Brick in the Wall,Infinite Hoop,Another Brick in the Wall,92,08/05/2024,5:30
The Splashware Engineers vs CommishCrew,The Splashware Engineers,CommishCrew,43,08/06/2024,5:30
