Team,Games Played,Date 1,Date 2,Date 3,Date 4,Date 5,Date 6,Date 7,Date 8
CommishCrew,8,07/15/2024,07/16/2024,07/22/2024,07/23/2024,07/29/2024,07/30/2024,08/05/2024,08/06/2024
Chain Blockers,7,07/15/2024,07/16/2024,07/22/2024,07/23/2024,07/29/2024,08/06/2024,08/12/2024,
The Splashware Engineers,8,07/15/2024,07/16/2024,07/22/2024,07/29/2024,07/30/2024,08/05/2024,08/06/2024,08/12/2024
Layup Legends A,8,07/15/2024,07/16/2024,07/22/2024,07/29/2024,07/30/2024,08/05/2024,08/06/2024,08/12/2024
Fellas of Finance,8,07/15/2024,07/16/2024,07/22/2024,07/23/2024,07/29/2024,07/30/2024,08/05/2024,08/12/2024
Satya's Directs,8,07/15/2024,07/16/2024,07/22/2024,07/23/2024,07/29/2024,07/30/2024,08/05/2024,08/06/2024
2024 MSHoops Redeem Team,8,07/15/2024,07/16/2024,07/22/2024,07/23/2024,07/29/2024,08/05/2024,08/06/2024,08/12/2024
Infinite Hoop,7,07/15/2024,07/16/2024,07/22/2024,07/23/2024,07/29/2024,07/30/2024,08/05/2024,
Hoopsters,6,07/16/2024,07/22/2024,07/23/2024,07/29/2024,07/30/2024,08/06/2024,,
Another Brick in the Wall,8,07/16/2024,07/22/2024,07/23/2024,07/29/2024,07/30/2024,08/05/2024,08/06/2024,08/12/2024
Like Clockwork,8,07/15/2024,07/16/2024,07/22/2024,07/23/2024,07/30/2024,08/01/2024,08/05/2024,08/06/2024
Air-Gapped 1's,5,07/15/2024,07/17/2024,07/24/2024,07/31/2024,08/01/2024,,,
Jump,8,07/15/2024,07/17/2024,07/22/2024,07/23/2024,07/30/2024,08/01/2024,08/05/2024,08/07/2024
Paewox,5,07/15/2024,07/17/2024,07/29/2024,07/31/2024,08/07/2024,,,
Fixers,8,07/15/2024,07/17/2024,07/23/2024,07/24/2024,07/31/2024,08/01/2024,08/05/2024,08/08/2024
Layup Legends B,8,07/15/2024,07/17/2024,07/22/2024,07/24/2024,07/29/2024,07/31/2024,08/05/2024,08/06/2024
Clippy - The Way We Got Shooters Everywhere,8,07/15/2024,07/17/2024,07/22/2024,07/25/2024,07/30/2024,08/01/2024,08/05/2024,08/06/2024
Paul Allen's Ballers,8,07/15/2024,07/17/2024,07/23/2024,07/31/2024,08/01/2024,08/05/2024,08/06/2024,08/12/2024
Scrubs,8,07/15/2024,07/18/2024,07/22/2024,07/23/2024,07/29/2024,07/31/2024,08/06/2024,08/07/2024
DefenseWonChampionship,8,07/15/2024,07/17/2024,07/22/2024,07/24/2024,07/30/2024,08/01/2024,08/07/2024,08/08/2024
Geneva Hoops,8,07/16/2024,07/17/2024,07/22/2024,07/24/2024,07/29/2024,07/31/2024,08/05/2024,08/06/2024
GPT-8,8,07/17/2024,07/18/2024,07/23/2024,07/24/2024,07/30/2024,07/31/2024,08/05/2024,08/12/2024
EthicallySourcedBuckets,8,07/17/2024,07/18/2024,07/22/2024,07/24/2024,07/30/2024,07/31/2024,08/05/2024,08/06/2024
Victorius,8,07/17/2024,07/18/2024,07/24/2024,07/25/2024,07/31/2024,08/01/2024,08/05/2024,08/06/2024
Edgehogs,8,07/17/2024,07/18/2024,07/25/2024,07/31/2024,08/01/2024,08/07/2024,08/08/2024,08/12/2024
Microballers,6,07/17/2024,07/19/2024,07/26/2024,08/02/2024,08/08/2024,08/13/2024,,
Multi-Factor Threat,8,07/18/2024,07/19/2024,07/25/2024,07/26/2024,08/01/2024,08/02/2024,08/07/2024,08/08/2024
Three Pointless,8,07/18/2024,07/19/2024,07/24/2024,07/25/2024,08/01/2024,08/02/2024,08/08/2024,08/09/2024
Json Tatum Deuce Daddy,8,07/18/2024,07/19/2024,07/24/2024,07/25/2024,08/01/2024,08/02/2024,08/12/2024,08/13/2024
The Dream Team,8,07/18/2024,07/19/2024,07/24/2024,07/25/2024,07/31/2024,08/01/2024,08/12/2024,08/14/2024
Clippies,8,07/18/2024,07/24/2024,07/25/2024,08/07/2024,08/08/2024,08/12/2024,08/13/2024,08/19/2024
NorthWest Umbrerllas,8,07/18/2024,07/19/2024,07/24/2024,07/26/2024,08/02/2024,08/07/2024,08/09/2024,08/12/2024
ARM Flex,8,07/18/2024,07/19/2024,07/25/2024,07/26/2024,08/02/2024,08/07/2024,08/08/2024,08/12/2024
Puerto Ricans @ MSFT,8,07/18/2024,07/19/2024,07/24/2024,07/25/2024,08/01/2024,08/02/2024,08/08/2024,08/12/2024
Not Elixer,8,07/18/2024,07/19/2024,07/24/2024,07/25/2024,07/31/2024,08/01/2024,08/08/2024,08/19/2024
High Performance Cabrones,8,07/18/2024,07/19/2024,07/24/2024,07/25/2024,08/02/2024,08/06/2024,08/07/2024,08/12/2024
Ballmer's C-team,8,07/18/2024,07/19/2024,07/25/2024,07/26/2024,08/01/2024,08/02/2024,08/08/2024,08/12/2024
Highly Privileged,8,07/18/2024,07/25/2024,07/26/2024,07/31/2024,08/01/2024,08/06/2024,08/07/2024,08/12/2024
Dolphins,8,07/18/2024,07/19/2024,08/01/2024,08/02/2024,08/07/2024,08/08/2024,08/13/2024,08/14/2024
